id,country,p.type,p.freq,p.year,p.area,loss_pa,subregion,climadomain,GDPpcPPP,income00
4452,Sudan,1,99.98629762,9,3806.46,461.8971,N Africa,Tropical,1898.7344,L
4453,Sudan,2,0.013702384,9,30.33,461.8971,N Africa,Tropical,1898.7344,L
4454,Sudan,1,99.97469315,10,2213.1,461.8971,N Africa,Tropical,1898.7344,L
4455,Sudan,2,0.025306846,10,22.14,461.8971,N Africa,Tropical,1898.7344,L
4456,Sudan,1,99.94062078,11,5334.39,461.8971,N Africa,Tropical,1898.7344,L
4457,Sudan,2,0.059379217,11,162.99,461.8971,N Africa,Tropical,1898.7344,L
4458,Sudan,1,99.98064266,12,2751.48,461.8971,N Africa,Tropical,1898.7344,L
4459,Sudan,2,0.019357336,12,24.84,461.8971,N Africa,Tropical,1898.7344,L
4460,Sudan,1,99.94836044,13,1570.32,461.8971,N Africa,Tropical,1898.7344,L
4461,Sudan,2,0.038729667,13,87.48,461.8971,N Africa,Tropical,1898.7344,L
4462,Sudan,3,0.012909889,13,117.63,461.8971,N Africa,Tropical,1898.7344,L
4463,Suriname,1,99.83727625,1,3412.8,826.4421,S America,Tropical,7853.3203,LM
4464,Suriname,2,0.162723745,1,222.12,826.4421,S America,Tropical,7853.3203,LM
4465,Suriname,1,99.87336963,2,3531.78,826.4421,S America,Tropical,7853.3203,LM
4466,Suriname,2,0.126630366,2,169.92,826.4421,S America,Tropical,7853.3203,LM
4467,Suriname,1,99.79197004,3,3395.43,826.4421,S America,Tropical,7853.3203,LM
4468,Suriname,2,0.187226961,3,384.57,826.4421,S America,Tropical,7853.3203,LM
4469,Suriname,3,0.020802996,3,584.64,826.4421,S America,Tropical,7853.3203,LM
4470,Suriname,1,99.74822018,4,4457.97,826.4421,S America,Tropical,7853.3203,LM
4471,Suriname,2,0.251779823,4,658.08,826.4421,S America,Tropical,7853.3203,LM
4472,Suriname,1,99.57250342,5,2687.4,826.4421,S America,Tropical,7853.3203,LM
4473,Suriname,2,0.410396717,5,551.7,826.4421,S America,Tropical,7853.3203,LM
4474,Suriname,3,0.017099863,5,199.62,826.4421,S America,Tropical,7853.3203,LM
4475,Suriname,1,99.58412753,6,2887.29,826.4421,S America,Tropical,7853.3203,LM
4476,Suriname,2,0.415872466,6,437.04,826.4421,S America,Tropical,7853.3203,LM
4477,Suriname,1,99.65859714,7,3112.29,826.4421,S America,Tropical,7853.3203,LM
4478,Suriname,2,0.341402855,7,400.95,826.4421,S America,Tropical,7853.3203,LM
4479,Suriname,1,99.5264624,8,6106.05,826.4421,S America,Tropical,7853.3203,LM
4480,Suriname,2,0.473537604,8,1231.29,826.4421,S America,Tropical,7853.3203,LM
4481,Suriname,1,99.47299078,9,5939.37,826.4421,S America,Tropical,7853.3203,LM
4482,Suriname,2,0.527009223,9,1348.83,826.4421,S America,Tropical,7853.3203,LM
4483,Suriname,1,99.39399769,10,5614.74,826.4421,S America,Tropical,7853.3203,LM
4484,Suriname,2,0.58676414,10,1097.46,826.4421,S America,Tropical,7853.3203,LM
4485,Suriname,3,0.019238169,10,219.33,826.4421,S America,Tropical,7853.3203,LM
4486,Suriname,1,99.40591797,11,4782.06,826.4421,S America,Tropical,7853.3203,LM
4487,Suriname,2,0.594082029,11,865.44,826.4421,S America,Tropical,7853.3203,LM
4488,Suriname,1,99.51495322,12,14897.97,826.4421,S America,Tropical,7853.3203,LM
